Temperature,Humidity,Pressure,Vibration,TEMPF,HUMIDITY,PRESSURE,VIBRATIONH
,,,,20.739512,71.039376,989.211650,0.452694
,,,,21.306808,70.851570,1019.394647,0.521671
,,,,20.810504,76.071570,1008.548785,-1.597905
,,,,21.446562,71.290970,988.346936,0.245824
,,,,20.950057,63.384064,996.038544,-0.102650
,,,,21.125284,69.711738,1023.442102,0.668356
,,,,21.007365,64.704685,1017.239402,-0.363586
,,,,21.019060,81.546550,999.595842,1.464656
,,,,20.946399,66.675493,1002.241438,-1.556414
,,,,20.445659,70.171131,1011.861843,0.192826
,,,,20.546629,70.856877,1016.407008,-0.992434
,,,,20.655148,72.819588,996.770772,-0.290713
,,,,21.438422,70.474975,1015.590272,0.342590
,,,,20.908680,82.518504,1006.981360,-0.427434
,,,,20.440372,71.076503,1008.611759,0.082991
,,,,20.821715,70.990681,1019.468114,0.003866
,,,,20.853780,68.031857,1007.478856,0.264146
,,,,20.730826,73.090273,1003.822224,0.470595
,,,,21.027273,63.500049,1034.350998,-0.684943
,,,,20.786982,73.497589,1027.172773,-0.067241
,,,,20.930028,71.222719,1011.604942,-0.077634
,,,,20.865994,73.457632,1020.776654,0.576306
,,,,20.792345,77.299055,1018.067758,-0.485723
,,,,21.090980,66.811744,1022.460744,0.009717
,,,,20.660479,70.424739,1019.594761,1.093799
,,,,21.180278,64.936261,1015.434941,0.160652
,,,,20.669367,79.078152,999.102855,-1.104693
,,,,20.901003,73.420263,1025.171096,-0.571710
,,,,20.790040,68.715775,1027.046767,0.013456
,,,,20.303314,70.604498,1011.801783,0.543906
,,,,20.014389,77.479359,1003.606750,-0.902232
,,,,20.479534,75.955510,999.541659,-0.435460
,,,,20.913816,76.255782,1013.408295,-0.022412
,,,,21.026586,70.132857,1019.396873,0.476639
,,,,20.757175,68.642971,1018.357646,-0.612868
,,,,20.926498,62.628071,1002.343586,0.023027
,,,,20.976881,77.732880,1007.070023,-0.157770
,,,,21.028972,64.671751,1019.330227,0.597937
,,,,20.867324,69.000226,1010.307647,-0.055962
,,,,20.736053,76.064480,1009.187691,-0.276259
,,,,20.900906,75.005899,1001.558993,-0.748120
,,,,20.458414,74.113366,995.039100,-0.144729
,,,,20.918469,77.457460,1003.452773,0.606858
,,,,20.566121,66.054176,1012.568357,-0.167736
,,,,20.985199,70.802457,1000.558868,0.588126
,,,,21.043553,71.570555,995.011585,-1.280022
,,,,20.548597,73.593995,1017.148244,-0.628144
,,,,21.508952,75.340328,1024.394207,-0.027017
,,,,20.995596,64.609997,1011.220192,-0.257636
,,,,20.286747,73.170658,996.478340,0.332088
,,,,20.570815,68.988216,1008.498532,0.476019
,,,,21.279070,66.652084,1009.235027,0.103509
,,,,20.938944,73.909770,1018.727047,0.045692
,,,,21.766528,73.218243,1006.120287,0.015604
,,,,21.328304,69.615339,1006.787904,-0.548893
,,,,20.968225,64.213825,1008.068289,-0.197770
,,,,21.121325,72.656256,985.500560,0.236318
,,,,20.788529,73.624238,1010.871303,0.901427
,,,,20.875200,72.947140,993.715397,0.013367
,,,,20.603779,68.563884,1011.695790,0.688166
,,,,20.719036,75.134695,1018.607587,-0.937262
,,,,21.072004,67.589791,1016.369969,0.193716
,,,,20.788052,77.884547,1012.543723,0.326028
,,,,20.959386,73.245888,1021.769145,-0.868863
,,,,21.441425,65.970537,1012.944322,-0.582022
,,,,20.902587,72.533315,998.227151,-1.040024
,,,,20.844973,70.132437,1014.081041,-0.047176
,,,,20.639209,73.020780,1021.696308,-0.838932
,,,,20.393690,69.798433,996.685804,-0.446962
,,,,20.809919,75.321780,1004.482092,0.643537
,,,,20.308426,64.148294,1011.508503,-0.300270
,,,,20.635128,69.935737,1005.494864,-0.253138
,,,,20.836435,74.036742,999.671741,0.494337
,,,,20.704978,72.323528,1015.913410,-0.197694
,,,,20.570898,74.665781,1004.436895,-0.304309
,,,,20.994322,65.801391,1012.991008,0.020691
,,,,20.365599,81.461117,1021.761998,0.033324
,,,,20.503345,68.932719,1008.973026,0.264062
,,,,20.735206,71.306763,1020.696691,0.641353
,,,,20.700542,75.238267,1011.602491,-0.678191
,,,,20.478407,82.840699,997.634092,-0.500973
,,,,20.954720,69.988529,1021.846844,1.146870
,,,,20.848651,70.852019,1008.531952,0.715012
,,,,21.209058,63.202439,999.311395,-0.852750
,,,,20.568057,70.957866,1012.644704,-0.206299
,,,,20.664106,84.950063,1009.909072,-0.409301
,,,,21.496207,70.401079,1006.887054,-0.724596
,,,,20.540522,69.953058,1031.092064,0.085838
,,,,20.745754,75.768870,1006.828757,0.602094
,,,,20.964056,76.860402,992.593670,-1.428537
,,,,20.397440,81.099392,1021.093273,-0.736158
,,,,21.427927,65.410294,1023.989417,0.518092
,,,,21.217952,75.031724,994.922246,-0.127804
,,,,20.856195,68.166165,1019.724054,-0.148862
,,,,21.021273,72.356153,994.608969,-0.114135
,,,,20.644075,75.745246,1021.602248,0.236463
,,,,20.649678,69.878149,1015.386412,0.720857
,,,,20.654967,70.473058,1004.001246,-0.720199
,,,,20.880481,70.910907,1000.483435,0.785251
,,,,20.798303,65.011257,1005.427374,0.229659
,,,,21.333143,68.926515,997.198519,0.086162
,,,,20.664819,67.002440,1005.046250,0.946959
,,,,19.929067,73.283165,1008.464620,-0.792160
,,,,20.936559,75.593706,996.607214,0.004460
,,,,20.595211,76.443442,995.159996,-1.204849
,,,,20.787116,61.418447,992.725190,1.006531
,,,,21.055315,73.244865,1027.251866,-0.097316
,,,,21.052663,73.935327,1009.993908,0.769910
,,,,20.562161,72.801889,1010.412722,-0.288520
,,,,20.530000,65.662018,1020.809220,0.580389
,,,,20.908365,71.950866,1026.085435,0.252420
,,,,20.671520,71.110933,1006.243273,0.064703
,,,,20.984347,63.725476,986.167045,0.572271
,,,,20.877011,80.218710,1010.025851,-0.000408
,,,,20.572792,65.160949,1019.364039,0.146744
,,,,20.977296,78.684933,1007.178137,-0.748247
,,,,20.338992,75.229120,1000.803938,0.595803
,,,,21.049321,68.840658,1028.871287,-0.798286
