Temperature,Humidity,Pressure,Vibration,TEMPF,HUMIDITY,PRESSURE,VIBRATIONH
,,,,20.653655,71.856360,995.450744,-1.081497
,,,,20.617270,78.083059,1002.735187,0.407526
,,,,20.929942,71.786858,1005.865981,-0.232795
,,,,20.849649,75.214349,1007.761624,0.471100
,,,,20.702489,68.546063,1022.695284,0.702358
,,,,20.703668,74.341481,1003.799152,-0.424513
,,,,20.472923,70.901698,1026.102357,0.120410
,,,,20.188740,72.859164,1022.659210,0.000153
,,,,21.453685,84.157777,1015.092913,-1.184380
,,,,20.559054,70.086843,1009.166036,0.697513
,,,,20.497512,84.040148,998.945713,-0.775391
,,,,21.358409,65.744381,1005.849688,0.138356
,,,,20.823815,67.140342,1004.950989,0.525976
,,,,21.247459,72.136474,988.145791,0.846139
,,,,20.813100,68.613400,1015.124896,0.715979
,,,,20.806364,70.503596,999.667702,-0.944278
,,,,20.604840,70.467168,1020.267534,-0.093413
,,,,20.620118,80.954983,996.814212,0.235707
,,,,20.471098,70.089701,1003.968922,-0.027274
,,,,21.340024,78.356200,1013.220510,1.135742
,,,,20.858230,69.521462,1018.204090,0.538860
,,,,20.932901,73.493231,1019.444444,-0.254906
,,,,20.990893,71.965063,1005.694981,-0.182917
,,,,21.329891,61.519567,1000.747930,-0.349720
,,,,21.381256,74.107402,1003.672261,0.831675
,,,,21.047412,74.122912,990.327749,0.130194
,,,,21.060490,66.985551,993.920704,-0.343645
,,,,20.696255,72.887305,1019.936108,1.434790
,,,,20.840829,75.184545,999.265461,-0.763095
,,,,21.116241,71.704296,1019.335689,1.519250
,,,,20.752693,70.877970,997.647668,0.291363
,,,,20.303601,72.769814,1007.187365,-1.052693
,,,,21.060963,70.396865,997.573736,-0.687339
,,,,20.323572,74.094725,998.249688,-0.411240
,,,,20.976766,74.348194,1006.651801,-0.164193
,,,,20.983594,71.533393,1020.398553,0.178666
,,,,20.902361,76.944653,993.472192,-0.072341
,,,,20.934282,66.093457,1016.311759,0.343380
,,,,20.740695,76.766332,1017.919327,-0.030749
,,,,20.666838,63.403416,1002.850237,1.029907
,,,,20.477212,77.874022,1013.929145,-0.629914
,,,,20.339530,71.970939,997.642795,-0.254590
,,,,21.226683,75.005258,1014.916847,0.829434
,,,,20.934830,70.763280,1006.494392,0.228177
,,,,20.929739,59.929948,1013.357226,0.386381
,,,,20.710922,75.048467,1013.033842,0.469509
,,,,20.763643,74.070589,1011.619657,-0.314240
,,,,21.234812,67.639934,992.195827,-0.905659
,,,,21.215150,64.904471,986.024991,0.033181
,,,,20.642916,70.878952,1015.449760,-0.362670
,,,,20.606535,74.448454,1020.391214,0.688938
,,,,20.899778,72.206612,1017.732841,-0.103708
,,,,21.057122,71.364804,1015.429869,-0.342760
,,,,20.397170,72.964161,1002.980156,0.561053
,,,,20.557164,68.193981,1025.856430,0.252587
,,,,20.565939,80.763251,1000.925511,-0.349120
,,,,21.340594,70.068356,990.941302,0.318502
,,,,19.868461,73.165538,995.659702,-0.032012
,,,,20.967454,70.896727,997.898327,-0.156069
,,,,21.074372,70.264908,1008.666715,0.225341
,,,,21.065536,66.056613,1013.191610,-0.441213
,,,,20.652737,80.067588,1008.538950,1.302227
,,,,21.236972,77.512595,1003.644240,0.101278
,,,,20.869163,65.170496,1007.630519,-0.934997
,,,,20.579089,77.367934,1027.056737,0.078040
,,,,20.615237,65.792364,1006.188150,0.625988
,,,,20.875588,76.912257,1026.896863,0.287237
,,,,20.823209,71.961505,1015.435663,-0.186585
,,,,20.367987,69.008418,1004.315953,0.280236
