Temperature,Humidity,Pressure,Vibration,TEMPF,HUMIDITY,PRESSURE,VIBRATIONH
,,,,20.829689,73.459554,1007.485891,0.663532
,,,,20.141368,72.323089,1026.082185,-0.593287
,,,,20.712282,76.903904,997.204801,0.800603
,,,,20.666373,70.882602,1022.842495,-0.764091
,,,,21.211335,76.809196,1020.284953,-0.229083
,,,,20.484679,71.925739,998.979322,0.206736
,,,,21.245966,71.107420,996.358856,-0.189525
,,,,20.843666,76.128491,1008.445812,0.036330
,,,,20.915103,78.744396,1012.451394,-0.093345
,,,,20.975241,71.619162,1004.004295,-0.281567
,,,,20.723577,63.302976,1034.820227,0.354456
,,,,20.785269,64.982939,1000.638226,-0.863228
,,,,21.291304,79.000674,1007.766515,-0.079316
,,,,20.636878,63.864259,992.030295,0.200593
,,,,20.713505,74.166838,1014.771390,0.647108
,,,,20.271457,69.787223,1010.639786,-0.426328
,,,,20.310467,72.536065,1016.130545,-0.419710
,,,,20.629696,71.052667,1017.159204,-0.019237
,,,,20.451585,71.973679,1023.184840,-0.141379
,,,,20.948679,77.310308,1015.454366,1.075175
,,,,20.729048,76.784676,1019.618701,0.542943
,,,,20.987446,84.731950,1026.541044,0.209207
,,,,20.442753,77.749827,996.504760,-0.357714
,,,,20.284974,66.300519,982.171573,-0.524663
,,,,21.115464,68.886627,1015.522190,-0.187970
,,,,20.135479,69.595887,1000.420641,-0.441450
,,,,20.725193,76.253004,1012.892722,-0.451584
,,,,20.848560,68.622852,1022.167925,0.551830
,,,,20.618458,75.065903,1024.073306,0.780255
,,,,20.860484,66.520148,1004.005779,0.327585
,,,,20.914693,72.153438,1019.490410,0.917244
,,,,21.383288,69.451025,1033.173263,-0.171989
,,,,20.311020,70.328569,1008.914930,0.855203
,,,,20.954697,65.010225,1009.852782,0.398460
,,,,20.738799,70.486502,1012.939342,0.793911
,,,,20.776680,66.819263,1014.230018,0.144965
,,,,20.805627,77.831122,1016.164519,-0.044992
,,,,20.541206,70.993081,1019.745567,0.888868
,,,,21.675933,76.072066,998.178012,0.533294
,,,,20.591938,66.575683,999.832555,0.419062
,,,,20.594690,73.526718,1010.091539,-1.255811
,,,,20.771580,68.460938,1003.097006,-0.278077
,,,,19.886326,72.224183,1001.873734,-1.264863
